City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
244,Cap Malheureux,MU,71.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
253,Sokoto,NG,82.8,overcast clouds,13.0609,5.239,Grand Ibro Hotel
255,Shimoda,JP,66.02,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
256,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
258,Camocim,BR,77.13,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
259,Tura,IN,72.09,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
262,Oyo,NG,73.18,overcast clouds,7.85,3.9333,Gold N Rock Hotel Nigeria Limited
263,Cuamba,MZ,66.18,few clouds,-14.8031,36.5372,Hotel Vision
267,Ponta Do Sol,PT,68.72,few clouds,32.6667,-17.1,Hotel do Campo
268,Roma,US,69.96,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
269,Bubaque,GW,78.33,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
270,Santa Isabel Do Rio Negro,BR,80.76,overcast clouds,-0.4139,-65.0192,Hotel GSA
272,Topeka,US,69.89,clear sky,39.0483,-95.678,Hotel Topeka At City Center
273,Jiaocheng,CN,69.76,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
276,Kirtipur,NP,66.13,broken clouds,27.6667,85.2833,LOGOS House Nepal
279,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
280,Pastos Bons,BR,80.82,overcast clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
281,Bengkulu,ID,75.69,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
284,Chumphon,TH,73.96,overcast clouds,10.3333,98.8333,สกาน จ๋า.
291,Melilla,ES,75.58,clear sky,35.2937,-2.9383,Hotel Anfora
293,Japura,ID,74.05,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
300,Lazaro Cardenas,MX,83.66,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
301,Buchanan,LR,77.52,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
304,Lejanias,CO,77.22,broken clouds,3.5251,-74.0216,Hotel Campestre La Contea
306,Horadiz,AZ,68.97,overcast clouds,39.4488,47.3353,Horadiz Olympic Center
307,Karratha,AU,77.25,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
308,Ukiah,US,84.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
311,Yokadouma,CM,70.63,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
314,Honiara,SB,80.89,clear sky,-9.4333,159.95,Heritage Park Hotel
316,Asyut,EG,73.94,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
319,Matanza,CO,70.43,few clouds,7.3223,-73.0152,Hotel Cacique Matanzu
320,Gazanjyk,TM,71.11,clear sky,39.2446,55.5154,Railway motel
321,Tezu,IN,70.97,few clouds,27.9167,96.1667,Circuit House
327,Masakin,TN,74.66,clear sky,35.7292,10.5808,DAR EL ANDALOUS Guest house
