City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Bredasdorp,ZA,2022-04-28 00:05:44,-34.5322,20.0403,54.91,88,1,1.63
131,Kholm,RU,2022-04-28 00:05:44,59.2667,32.85,25.74,77,29,0.96
132,Kokopo,PG,2022-04-28 00:05:45,-4.352,152.2633,84.27,66,72,3.51
133,Sterling,US,2022-04-28 00:02:49,39.0062,-77.4286,53.6,43,20,18.41
134,New Norfolk,AU,2022-04-28 00:05:45,-42.7826,147.0587,64.92,86,95,2.68
135,Cape Town,ZA,2022-04-28 00:05:45,-33.9258,18.4232,59.92,86,4,15.01
136,Vila Velha,BR,2022-04-28 00:05:46,-20.3297,-40.2925,75.94,89,0,5.23
137,Roald,NO,2022-04-28 00:05:46,62.5833,6.1333,43.32,81,100,14.97
138,Carinhanha,BR,2022-04-28 00:05:46,-14.3047,-43.765,76.95,58,17,8.41
139,Come,BJ,2022-04-28 00:05:47,6.4076,1.882,78.8,85,100,10.71
140,Buala,SB,2022-04-28 00:05:47,-8.145,159.5921,85.84,66,53,4.94
141,Mahebourg,MU,2022-04-28 00:03:11,-20.4081,57.7,73.26,82,15,3.42
142,Zaplavnoye,RU,2022-04-28 00:05:47,48.7048,45.0229,57.85,72,66,12.33
143,Hamilton,US,2022-04-28 00:01:10,39.1834,-84.5333,58.05,51,40,5.99
144,Cobija,BO,2022-04-28 00:05:48,-11.0267,-68.7692,80.01,73,100,2.39
145,Kovdor,RU,2022-04-28 00:05:48,67.5662,30.4758,24.33,76,100,10.42
146,Port-Gentil,GA,2022-04-28 00:05:48,-0.7193,8.7815,79.54,78,74,3.44
147,Luanda,AO,2022-04-28 00:05:39,-8.8368,13.2343,77.4,86,100,4.63
148,Loudi,CN,2022-04-28 00:05:49,27.7344,111.9944,73.35,89,77,2.64
149,Cherskiy,RU,2022-04-28 00:05:49,68.75,161.3,31.01,100,100,3.33
150,Cayenne,GF,2022-04-28 00:05:49,4.9333,-52.3333,82.09,1,75,1.99
151,Aksarka,RU,2022-04-28 00:05:49,66.5606,67.7975,13.42,91,49,4.25
152,Longyearbyen,SJ,2022-04-28 00:05:50,78.2186,15.6401,1.24,60,40,8.05
153,Guarapari,BR,2022-04-28 00:05:50,-20.6667,-40.4975,75.88,88,5,7.0
154,Paamiut,GL,2022-04-28 00:05:50,61.994,-49.6678,34.59,98,100,20.67
155,Lagoa,PT,2022-04-28 00:05:51,39.05,-27.9833,62.73,92,100,33.02
156,Alugan,PH,2022-04-28 00:05:51,12.2188,125.4808,81.7,84,82,11.16
157,Porto Novo,BJ,2022-04-28 00:05:51,6.4965,2.6036,79.29,85,100,10.42
158,Katangli,RU,2022-04-28 00:05:52,51.7102,143.2326,28.81,89,100,32.77
159,Dingle,PH,2022-04-28 00:05:52,10.9995,122.6711,81.93,81,99,9.66
160,Storm Lake,US,2022-04-28 00:04:31,42.6411,-95.2097,60.04,41,0,28.77
